miRNAs	n_geneset	hyper_pval	OR
dme-miR-9c-3p	2	0.6527203249532959	0.9118049225159526
dme-miR-4948-3p	0		
dme-miR-1006-5p	1	0.8954846825835304	0.44073394495412843
dme-miR-9382-5p	1	0.612861948275822	1.0772707889125799
dme-miR-3644-5p	1	0.7691818523499492	0.6898050139275766
dme-miR-4914-5p	1	0.7730242690652204	0.6817630853994491
dme-miR-4910-5p	7	0.37750474728820915	1.2511480042387848
dme-miR-3642-5p	1	0.7677248836148824	0.6928671328671329
dme-miR-3643-5p	0		
dme-miR-2279-3p	1	0.5040764163282969	1.4657471264367816
dme-miR-4909-3p	5	0.5302846379657593	1.0631344736476152
dme-miR-303-3p	9	0.026469295032139142	2.5204097470122613
dme-miR-3645-5p	1	0.7582899733449544	0.7128735632183908
dme-miR-190-5p	1	0.7961121610471921	0.6343886743886744
dme-miR-965-3p	0		
dme-miR-7-5p	1	0.599920673118199	1.1167328918322297
dme-miR-9a-5p	3	0.3479282375609295	1.4953460472427915
dme-miR-9b-5p	2	0.6141131517916455	0.9827473958333334
dme-miR-9c-5p	3	0.3440128705836363	1.5062468765617192
dme-miR-137-3p	3	0.5957224452085537	0.9922299034451237
dme-miR-315-5p	5	0.6197279511699807	0.9487569761542364
dme-bantam-3p	0		
dme-miR-968-5p	3	0.17897515091203275	2.184870979144574
dme-miR-1002-5p	5	0.1341762673930361	2.0122998694427268
dme-miR-iab-4-5p	1	0.7904512923067635	0.6458638743455497
dme-miR-971-3p	3	0.3183054349578626	1.581685109349133
dme-miR-999-3p	3	0.22425030688725234	1.9382040214759448
dme-miR-960-5p	2	0.42770350273922747	1.418271435121504
dme-miR-12-5p	2	0.42979720590777254	1.4121004566210045
dme-miR-281-2-5p	2	0.18932381590417136	2.6390274314214466
dme-miR-124-5p	1	0.5558350799982703	1.2634825870646766
dme-miR-285-5p	0		
dme-miR-2493-5p	0		
dme-miR-2493-3p	3	0.2116390013172167	2.0001084245906973
dme-miR-4985-3p	2	0.04659838540578509	6.226878612716763
dme-miR-1001-3p	0		
dme-miR-9383-3p	1	0.5797258468538632	1.1814452214452213
dme-miR-961-3p	7	0.14771924938297684	1.769008437835066
dme-miR-9377-3p	3	0.33506470696170787	1.531720521062426
dme-miR-961-5p	2	0.4960556994088762	1.2351046698872785
dme-miR-4977-5p	10	0.056640401306182	2.089688328912467
dme-miR-957-5p	10	0.024156563293125377	2.4845708317508546
dme-miR-1000-3p	2	0.5128777787758307	1.1949648711943794
dme-miR-4982-5p	4	0.3687485002155695	1.3598117093262725
dme-miR-1002-3p	3	0.28884260807903056	1.6777087646652864
dme-miR-6-1-5p	1	0.7179077904583511	0.802443729903537
dme-miR-31a-3p	1	0.6015607931979294	1.1116483516483517
dme-miR-31b-3p	1	0.5907833294248366	1.1455203619909502
dme-miR-4955-3p	1	0.5382459298758324	1.3281462140992166
dme-miR-1-5p	0		
dme-miR-979-5p	0		
dme-miR-309-5p	3	0.21477518866739045	1.9842875591907017
dme-miR-981-5p	2	0.6345790971893477	0.944601381042059
dme-miR-3645-3p	4	0.22559963929315655	1.7499078374990784
dme-miR-4958-3p	1	0.39497144238117227	2.056
dme-miR-988-5p	4	0.13711998795443017	2.1740850642927794
dme-miR-927-3p	1	0.6811380552449229	0.8907282415630551
dme-miR-1016-5p	5	0.15601034629043026	1.9041077969649398
dme-miR-304-3p	1	0.889446357634391	0.4524812030075188
dme-miR-9b-3p	1	0.5932950394473504	1.1375280898876405
dme-miR-2283-3p	7	0.0016929372825191216	4.889003554638229
dme-miR-3644-3p	6	0.12166778593443897	1.9599194939620472
dme-miR-974-3p	5	0.1270538588769137	2.0519544087826027
dme-miR-8-5p	3	0.28994935010299433	1.673890087691107
dme-miR-9371-3p	4	0.34560133687171646	1.4103062712688381
dme-miR-4916-3p	7	0.10073058117978761	1.9824390494013895
dme-miR-993-5p	0		
dme-miR-9384-3p	7	0.06805885362899905	2.206987586361849
dme-miR-4949-3p	2	0.5211613904119339	1.1757977700884275
dme-miR-966-5p	5	0.03040942571289958	3.2198289515362686
dme-miR-9378-5p	4	0.01345364198121033	4.875120633082417
dme-miR-9372-3p	2	0.4290997015945986	1.4141518061271148
dme-miR-4979-5p	12	0.008658257253188372	2.8291905074570867
dme-miR-287-3p	3	0.34289420841396573	1.5093883000917967
dme-miR-964-3p	8	0.020188858007427472	2.7847414802489676
dme-miR-4963-5p	4	0.2905241084180159	1.546642037208075
dme-miR-4984-3p	6	0.12445710721862738	1.9457142857142857
dme-miR-4944-3p	5	0.19824798276969158	1.7359855334538878
dme-miR-2501-5p	5	0.342845612529164	1.3630585704507676
dme-miR-314-5p	4	0.36118180453967097	1.375943873000773
dme-miR-4917-3p	2	0.2761994013426958	2.0200706486833653
dme-miR-2494-5p	1	0.8471700774796753	0.5339320920043812
dme-miR-986-5p	0		
dme-miR-276a-3p	1	0.5521864950702755	1.2765829145728642
dme-miR-276b-3p	1	0.5521864950702755	1.2765829145728642
dme-miR-10-5p	1	0.27761992308443273	3.194567901234568
dme-miR-283-5p	4	0.32960700048082736	1.4473324213406293
dme-miR-263a-5p	1	0.6571921181560842	0.9524242424242424
