miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-miR-306-5p	1	2.2089270386266096	0.373023121025971	0.808161115129926
dme-miR-4910-5p	7	1.2511480042387848	0.378515820190575	0.808785895186332
dme-miR-9381-5p	1	2.1616806722689077	0.379303467576917	0.8092710482754
dme-miR-280-5p	7	1.2506047070040078	0.379596388083059	0.810069841646635
dme-miR-2497-3p	3	1.404781436774874	0.382522265030162	0.810659225658045
dme-miR-9381-3p	1	2.1433333333333335	0.38304259326082	0.81101919268033
dme-miR-1000-5p	5	1.2863659637853186	0.384996882881698	0.811393062236557
dme-miR-8-3p	3	1.3951863354037266	0.385298950290597	0.811681503589395
dme-miR-959-3p	2	1.5363501483679525	0.388833072212266	0.812158880218866
dme-miR-2492-5p	2	1.5363501483679525	0.389549116709343	0.812262996640024
dme-miR-277-3p	5	1.2694193192018228	0.393835768230017	0.813569974834385
dme-miR-4939-3p	1	2056	0.394130470850357	0.813782816991281
dme-miR-4958-3p	1	2056	0.394130470850357	0.813782816991281
dme-miR-4986-5p	2	1.5080174927113703	0.398828093106405	0.814057566914943
dme-miR-964-5p	3	1.36187583064363	0.400811312901432	0.814522648653593
dme-miR-92b-5p	1	2.006875	0.401415670234297	0.81468421654856
dme-miR-988-3p	1	2.014901960784314	0.402621651837008	0.815326199782431
dme-miR-316-5p	3	1.3413099651724525	0.409641944579167	0.815521073511923
dme-miR-986-3p	1	1.8654545454545455	0.4239339691426	0.816196524446758
dme-miR-960-5p	2	1.418271435121504	0.427006777177154	0.816457373314169
dme-miR-12-5p	2	1.4121004566210045	0.429095934439253	0.816896104654546
dme-miR-9372-3p	2	1.4141518061271148	0.431181537042666	0.817107294733005
dme-miR-4960-3p	1	1.8314285714285714	0.432023030218509	0.817801966146159
dme-miR-308-3p	2	1.3800268096514745	0.440177309611828	0.817953277953702
dme-miR-13a-3p	2	1.374165554072096	0.442243430775269	0.818700497507011
dme-miR-13b-3p	2	1.374165554072096	0.442243430775269	0.818700497507011
dme-miR-5-3p	2	1.370284065690191	0.443618764796714	0.818834543466689
dme-miR-960-3p	1	1.736271186440678	0.446756731124877	0.819167089876983
dme-miR-2a-3p	2	1.3511826544021024	0.450470156325497	0.819671750815078
dme-miR-2b-3p	2	1.3511826544021024	0.450470156325497	0.819671750815078
dme-miR-2c-3p	2	1.3511826544021024	0.450470156325497	0.819671750815078
dme-miR-976-3p	3	1.2531244499207885	0.450592654041104	0.820165733296959
dme-miR-985-3p	6	1.1604236343366778	0.452175754398918	0.820445400465955
dme-miR-283-3p	3	1.2387123745819397	0.455986064494435	0.820565808006591
dme-miR-6-3p	2	1.3270887166236003	0.459312707019557	0.820610842143962
dme-miR-998-5p	2	1.2915617128463477	0.474105997818843	0.820906028885218
dme-miR-955-5p	1	1.592398753894081	0.475129349934228	0.821129124168175
dme-miR-977-5p	2	1.2561349693251533	0.487361104833351	0.821341877664728
dme-miR-4959-5p	2	1.241504854368932	0.494570518624026	0.821423160311509
dme-miR-961-5p	2	1.2351046698872785	0.497177632962125	0.821965615462085
dme-miR-4976-3p	1	1.4876967930029155	0.498039286848905	0.822254534410046
dme-miR-4940-5p	1	1.4876967930029155	0.499057462737749	0.823048720929433
dme-miR-2279-3p	1	1.4657471264367816	0.503110343584971	0.823879780862242
dme-miR-981-3p	2	1.197965571205008	0.512015923956689	0.824172058575146
dme-miR-1000-3p	2	1.1949648711943794	0.513293770279003	0.824205297889981
dme-miR-4949-3p	2	1.1757977700884275	0.520918442638831	0.82472328795597
dme-miR-277-5p	1	1.3686021505376345	0.527735577254112	0.825199373589556
dme-miR-1008-3p	1	1.3536170212765957	0.530610510811281	0.825507575828999
dme-miR-4909-3p	5	1.0631344736476152	0.531254485245638	0.825577461266341
dme-miR-4956-5p	1	1.3389473684210527	0.534417588634497	0.826326774001193
dme-miR-989-5p	1	1.3389473684210527	0.535364708787924	0.827720833181786
dme-miR-4955-3p	1	1.3281462140992166	0.537253394364511	0.827970126542561
dme-miR-274-5p	2	1.1242625368731562	0.543348864658666	0.8287067023714
dme-miR-276a-3p	1	1.2765829145728642	0.551185102638586	0.828915715173355
dme-miR-276b-3p	1	1.2765829145728642	0.551185102638586	0.828915715173355
dme-miR-124-5p	1	1.2634825870646766	0.554831562380049	0.829497965567381
dme-miR-79-5p	2	1.0892409595417114	0.561521209477777	0.830257412270987
dme-miR-1014-3p	4	1.019906430602697	0.569222839330955	0.831022285773417
dme-miR-312-5p	1	1.2076190476190476	0.573512911022105	0.831780297026934
dme-miR-2499-3p	1	1.1987706855791962	0.574383429483614	0.832288893934601
dme-miR-4949-5p	1	1.1842990654205607	0.578710456547572	0.833255878564919
dme-miR-9383-3p	1	1.1814452214452213	0.578710456547572	0.833255878564919
dme-miR-954-5p	1	1.1618348623853212	0.584697293878074	0.834014068527343
dme-miR-263b-5p	2	1.0363247863247864	0.586150252763952	0.834745533987279
dme-miR-31b-5p	1	1.1590846681922198	0.588081525549525	0.835470580891402
dme-miR-31b-3p	1	1.1455203619909502	0.589763681938182	0.836846505896849
dme-miR-4971-5p	1	1.1509090909090909	0.589763681938182	0.836846505896849
dme-miR-4965-5p	1	1.142844243792325	0.590602281230023	0.837608044129784
dme-miR-9b-3p	1	1.1375280898876405	0.592274537541647	0.838308243480658
dme-miR-955-3p	4	0.9851676985434947	0.593190642564457	0.839002430527886
dme-miR-288-3p	2	1.0204752275025277	0.595846115124716	0.839690682378038
dme-miR-310-5p	1	1.1322595078299775	0.596426493437282	0.840373074824793
dme-miR-137-3p	3	0.9922299034451237	0.597037470300891	0.841049682376764
dme-miR-31a-5p	1	1.1296428571428572	0.597251991914085	0.84172057828462
dme-miR-7-5p	1	1.1167328918322297	0.599718757303232	0.842385834567517
dme-miR-31a-3p	1	1.1116483516483517	0.600537779285248	0.843045522038877
dme-miR-979-3p	1	1.1016122004357298	0.603797782743924	0.84369971033151
dme-miR-972-3p	3	0.9762333858977247	0.604922458288914	0.844348467922119
dme-miR-303-5p	2	0.9932610124917817	0.607604349728458	0.844991862155197
dme-miR-9382-5p	1	1.0772707889125799	0.61183625850419	0.845629959266323
dme-miR-305-3p	1	1.0772707889125799	0.612631425313755	0.846262824404901
dme-miR-9b-5p	2	0.9827473958333334	0.613666509683988	0.846890521656329
dme-miR-4954-3p	1	1.0678224101479916	0.615007539226496	0.847513114063637
dme-miR-2499-5p	1	1.0678224101479916	0.61658382260692	0.848130663648586
dme-miR-996-5p	1	1.0585324947589099	0.618153899406902	0.848743231432274
