miRNAs	n_geneset	hyper_pval	OR
dme-miR-3645-3p	3	0.29032369844135625	1.6977786252264278
dme-miR-4958-3p	0		
dme-miR-988-5p	2	0.4649870310956857	1.326423165514972
dme-miR-927-3p	1	0.5848115609160354	1.1725717490885295
dme-miR-1016-5p	6	0.018440051602875276	3.4318114874815904
dme-miR-304-3p	1	0.8161504059012658	0.5956667985753858
dme-miR-9b-3p	1	0.49937131182769123	1.49745712596097
dme-miR-2283-3p	0		
dme-miR-3644-3p	8	0.0027383907434973755	4.363461907503359
dme-miR-974-3p	4	0.14805943897371143	2.1538884812912693
dme-miR-8-5p	7	0.0003413862458537383	6.945183130761073
dme-miR-9371-3p	5	0.06968122198952005	2.5888517279821626
dme-miR-4916-3p	4	0.3860746223554997	1.3436284046692606
dme-miR-993-5p	0		
dme-miR-9384-3p	7	0.017253723445755875	3.2273212379935967
dme-miR-4949-3p	0		
dme-miR-966-5p	2	0.40672789495509853	1.4979742173112338
dme-miR-9378-5p	0		
dme-miR-9372-3p	1	0.6823773247970821	0.8922855082912762
dme-miR-4979-5p	8	0.07184098087005437	2.198032786885246
dme-miR-287-3p	3	0.2099052609728438	2.043129727898837
dme-miR-964-3p	4	0.2944190365119488	1.5632263420033203
dme-miR-4963-5p	1	0.8921221443687072	0.44685391973779487
dme-miR-4984-3p	5	0.11871711394466	2.1616219303255284
dme-miR-4944-3p	4	0.21581030019654368	1.8224225173940545
dme-miR-2501-5p	4	0.34636426364796435	1.431118522319138
dme-miR-314-5p	2	0.6961807487995582	0.8400464474925612
dme-miR-4917-3p	1	0.5554210434107656	1.2738866396761133
dme-miR-2494-5p	0		
dme-miR-986-5p	2	0.19681954082543163	2.605721393034826
dme-miR-276a-3p	1	0.46089221804463454	1.6805078021687385
dme-miR-276b-3p	1	0.46089221804463454	1.6805078021687385
dme-miR-10-5p	1	0.22127647296890263	4.205328135152697
dme-miR-283-5p	4	0.17761082206940526	1.991108071135431
dme-miR-263a-5p	1	0.5610345618695456	1.253787878787879
dme-miR-314-3p	2	0.3727219622565299	1.6142706687730384
dme-miR-985-3p	8	0.03714535723785227	2.582620552869716
dme-miR-994-3p	4	0.04167166941098358	3.4732954545454544
dme-miR-963-3p	2	0.22617056628903445	2.3654572940287224
dme-miR-4983-5p	3	0.07717528358844175	3.327807486631016
dme-miR-4985-5p	2	0.4894169929557375	1.2626834381551362
dme-miR-4955-5p	1	0.278121113767551	3.2165128460962835
dme-miR-2489-5p	2	0.5773951122706844	1.0623153370937417
dme-miR-955-3p	5	0.19039198155144865	1.808169934640523
dme-miR-2497-3p	1	0.8311008786044516	0.5660136889308472
dme-miR-2c-5p	2	0.41662404284021454	1.4665944384254244
dme-miR-4951-3p	2	0.36934213233516056	1.626624237602758
dme-miR-997-5p	1	0.558236273145428	1.2637605464041783
dme-miR-9375-5p	0		
dme-miR-278-5p	0		
dme-miR-4977-3p	1	0.5672692703696628	1.231892580613545
dme-miR-9371-5p	2	0.26569972700903166	2.1053610688313884
dme-miR-2490-3p	2	0.2973795947085786	1.9341448189762795
dme-miR-9377-5p	2	0.34667619354984924	1.7137287663603453
dme-miR-2491-5p	6	0.00710258556470841	4.2994227994228
dme-miR-2495-5p	0		
dme-miR-4966-3p	1	0.7347124836784843	0.7675699355403968
dme-miR-4979-3p	4	0.07125024182340658	2.8704761904761904
dme-miR-987-3p	0		
dme-miR-954-3p	1	0.7347124836784843	0.7675699355403968
dme-miR-4950-3p	0		
dme-miR-4963-3p	3	0.31670695946769434	1.609493527140586
dme-miR-4945-5p	4	0.19525311075976143	1.9084321475625823
dme-miR-4919-3p	0		
dme-miR-4965-3p	0		
dme-miR-1003-3p	1	0.4268459733083313	1.8687875678053072
dme-miR-1004-3p	1	0.4232408169433035	1.8904373610081542
dme-miR-33-3p	4	0.480592161165874	1.1671712802768166
dme-miR-1014-5p	2	0.5329657036352793	1.1584810617068682
dme-miR-9379-3p	1	0.5210392664650941	1.405697118059419
dme-miR-317-5p	0		
dme-miR-92b-5p	0		
dme-miR-274-3p	5	0.2425688194059328	1.6336485066786732
dme-miR-2a-1-5p	2	0.39064633625729206	1.5512430238457635
