miRNAs	n_geneset	hyper_pval	OR
dme-miR-994-3p	1	0.42760889255338747	1.9794531629186216
dme-miR-963-3p	1	0.3078996806177121	3.038806694154742
dme-miR-4983-5p	0		
dme-miR-4985-5p	2	0.13218769444931364	3.791823899371069
dme-miR-4955-5p	0		
dme-miR-2489-5p	1	0.5489209762861714	1.3659995399125835
dme-miR-955-3p	0		
dme-miR-2497-3p	1	0.5088674254753561	1.5378603459320948
dme-miR-2c-5p	0		
dme-miR-4951-3p	0		
dme-miR-997-5p	0		
dme-miR-9375-5p	0		
dme-miR-278-5p	0		
dme-miR-4977-3p	2	0.039845841506096574	7.824626865671642
dme-miR-9371-5p	0		
dme-miR-2490-3p	1	0.3608222884504918	2.4854738529352836
dme-miR-9377-5p	0		
dme-miR-2491-5p	2	0.16040615539416894	3.3350111856823266
dme-miR-2495-5p	0		
dme-miR-4966-3p	1	0.41170421535499685	2.0854425004246644
dme-miR-4979-3p	1	0.48820775961215135	1.6368199701533035
dme-miR-987-3p	0		
dme-miR-954-3p	1	0.41170421535499685	2.0854425004246644
dme-miR-4950-3p	0		
dme-miR-4963-3p	2	0.18355641441537088	3.0406378600823047
dme-miR-4945-5p	2	0.23542633660849624	2.543421052631579
dme-miR-4919-3p	0		
dme-miR-4965-3p	0		
dme-miR-1003-3p	0		
dme-miR-1004-3p	0		
dme-miR-33-3p	6	0.0006062611859889645	14.036363636363637
dme-miR-1014-5p	0		
dme-miR-9379-3p	0		
dme-miR-317-5p	0		
dme-miR-92b-5p	1	0.1463483199078781	7.177455357142857
dme-miR-274-3p	2	0.40445712221304675	1.6327937649880095
dme-miR-2a-1-5p	2	0.09562634938928768	4.658295281582953
dme-miR-2501-3p	2	0.042743100062238075	7.51705565529623
dme-miR-137-5p	1	0.320608466188125	2.8895053166897826
dme-miR-962-3p	0		
dme-miR-252-5p	4	0.007469818143837367	7.978781656399726
dme-miR-4968-3p	0		
dme-miR-5-5p	0		
dme-miR-965-5p	0		
dme-miR-1001-5p	0		
dme-miR-954-5p	0		
dme-miR-4978-5p	0		
dme-miR-995-5p	0		
dme-miR-4980-3p	0		
dme-miR-981-3p	1	0.4162873855597021	2.0540947914922123
dme-miR-978-3p	0		
dme-miR-4913-3p	1	0.3227788710641184	2.865168539325843
dme-miR-967-3p	1	0.6448996322937465	1.034278535534817
dme-miR-977-5p	1	0.402054696325815	2.1537114845938374
dme-miR-989-5p	1	0.20999140956533527	4.788721804511278
dme-miR-3643-3p	1	0.29856737987520837	3.1564386317907447
dme-miR-8-3p	2	0.14504832913315843	3.567350579839429
dme-let-7-5p	0		
dme-miR-305-5p	0		
dme-miR-973-5p	1	0.4086313038857033	2.106842737094838
dme-miR-968-3p	2	0.1564756473485369	3.3912549687677456
dme-miR-984-5p	0		
dme-miR-997-3p	1	0.24309757265150497	4.040178571428571
dme-miR-13a-5p	0		
dme-miR-4959-5p	0		
dme-miR-263b-3p	3	0.012312766345636017	8.562747380675203
dme-miR-1004-5p	2	0.07971889152965296	5.2087029995775245
dme-miR-13b-1-5p	0		
dme-miR-9373-5p	2	0.3573167668225111	1.8238776517020228
dme-miR-4960-3p	0		
dme-miR-33-5p	3	0.08428372757561196	3.7872909698996655
dme-miR-274-5p	1	0.4357887584531843	1.927861089187056
dme-miR-281-3p	0		
dme-miR-4965-5p	0		
dme-miR-2281-5p	1	0.5630020079785584	1.3109830433337029
dme-miR-4972-5p	0		
dme-miR-9379-5p	1	0.3309711807979978	2.7761459724076545
dme-miR-133-5p	2	0.06551413811302764	5.86024551463645
dme-miR-317-3p	0		
dme-miR-4943-3p	0		
dme-miR-278-3p	0		
